Code,Sample_ID,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Turbidity,PR_Remarks
1031,QS,10/25/1988,1202,3.42,21,7.28,40.6,NA,
1034,Q3,10/25/1988,853,4.46,NA,7.51,65.4,NA,
1035,Q2,10/25/1988,825,0.1,NA,7.39,72.2,NA,
1036,Q1,10/25/1988,914,9.72,NA,7.15,77.3,NA,
1064,Q1,11/1/1988,851,9.74,NA,7.13,87.6,NA,
1065,Q2,11/1/1988,826,0.08,NA,7.31,85.1,NA,
1070,Q3,11/1/1988,839,4.44,NA,7.43,77.8,NA,
1071,QS,11/1/1988,1035,3.6,21,6.9,44.5,NA,
1079,Q3,11/15/1988,847,4.49,NA,7.42,76.2,NA,
1081,Q1,11/15/1988,840,9.74,NA,7.16,88.2,NA,
1082,Q2,11/15/1988,856,0.12,NA,7.35,82.9,NA,
1085,QS,11/15/1988,1105,3.5,21,6.89,43.9,NA,
1090,Q2,11/7/1988,840,0.08,NA,7.52,87.1,NA,
1091,Q3,11/7/1988,850,4.44,NA,7.5,81.3,NA,
1093,Q1,11/7/1988,905,9.72,NA,7.31,90.6,NA,
1094,QS,11/7/1988,1105,3.29,22,6.93,46.3,NA,
1097,Q2,11/22/1988,826,0.12,NA,7.25,76.2,NA,
1099,Q3,11/22/1988,835,4.58,NA,7.22,68.2,NA,
1100,Q1,11/22/1988,846,9.74,NA,6.89,77.1,NA,
1101,QS,11/22/1988,1110,3.68,20,6.76,43.5,NA,
1116,QS,11/29/1988,1010,3.3,19,6.8,47.3,NA,
1117,Q1,11/29/1988,906,9.72,NA,7.55,91.6,NA,
1121,Q2,11/29/1988,833,0.1,NA,7.32,91.5,NA,
1122,Q3,11/29/1988,850,4.44,NA,7.4,84,NA,
1125,Q1,12/6/1988,900,9.7,NA,7.5,87.6,NA,
1129,Q3,12/6/1988,849,4.4,NA,7.59,76.2,NA,
1131,QS,12/6/1988,1000,3.27,18.5,7.08,44.1,NA,
1132,Q2,12/6/1988,839,0.1,NA,7.61,83.3,NA,
1157,Q3,12/13/1988,941,4.4,NA,7.45,79.3,NA,
1158,Q2,12/13/1988,935,0.1,NA,7.52,81.3,NA,
1159,Q1,12/13/1988,1005,9.72,NA,7.24,80.6,NA,
1161,QS,12/13/1988,1050,3.36,20,7.27,46.3,NA,
1175,Q3,12/20/1988,931,4.4,NA,7.56,81.8,NA,
1176,QS,12/20/1988,1020,3.29,19.5,7.27,46.3,NA,
1177,Q1,12/20/1988,945,9.72,NA,7.42,90.2,NA,
1178,Q2,12/20/1988,925,0.08,NA,7.58,86.4,NA,
1184,Q1,12/27/1988,1025,9.72,NA,7.31,85.6,NA,
1185,QS,12/27/1988,1028,3.64,20,7.17,43,NA,
1186,Q3,12/27/1988,839,4.58,NA,7.4,77,NA,
1189,Q2,12/27/1988,938,0.08,NA,7.44,83,NA,
1193,Q3,1/3/1989,914,4.4,NA,7.45,84.1,NA,
1194,Q2,1/3/1989,905,0.08,NA,7.46,88,NA,
1196,QS,1/3/1989,1030,3.5,20,7.1,48,NA,
1198,Q1,1/3/1989,851,9.74,NA,7.32,91.1,NA,
1204,QS,1/10/1989,1115,4.58,18.8,6.64,38.3,NA,
1207,Q3,1/10/1989,822,4.58,NA,7.51,64.1,NA,
1208,Q2,1/10/1989,811,0.1,NA,7.6,71,NA,
1209,Q1,1/10/1989,830,9.72,NA,7.5,77,NA,
1216,Q3,1/17/1989,910,4.42,NA,7.18,79.2,NA,NO3=0 removed by DAS 5/94
1217,Q2,1/17/1989,857,0.08,NA,7.24,85.3,NA,
1218,Q1,1/17/1989,921,9.72,NA,7.11,89.3,NA,NO3=0 removed by DAS 5/94
1219,QS,1/17/1989,1020,NA,19,6.68,48,NA,
1220,Q1,1/24/1989,900,9.72,NA,6.92,91.5,NA,
1221,QS,1/24/1989,940,3.4,19,6.66,49.2,NA,
1222,Q2,1/24/1989,832,0.08,NA,7.16,87.5,NA,
1223,Q3,1/24/1989,847,4.4,NA,7.11,82.9,NA,
1252,Q3,1/31/1989,827,4.39,NA,6.99,83.7,NA,
1255,Q1,1/31/1989,855,9.72,NA,6.89,92.3,NA,
1257,QS,1/31/1989,1030,3.28,19.5,6.69,48.7,NA,
1258,Q2,1/31/1989,819,0.04,NA,7.09,88.2,NA,
1285,QS,2/7/1989,1000,3.4,19.5,7.024,50.1,NA,
1287,Q1,2/7/1989,NA,9.72,NA,7.551,91.3,NA,
1288,Q2,2/7/1989,911,0.08,NA,7.622,89.4,NA,
1289,Q3,2/7/1989,917,4.5,NA,7.5,84.4,NA,
1306,Q2,2/14/1989,834,0.08,NA,7.52,89.2,NA,
1309,QS,2/14/1989,920,3.44,18,6.8,50.1,NA,
1311,Q1,2/14/1989,901,9.92,NA,7.33,93.8,NA,
1313,Q3,2/14/1989,440,8.48,NA,7.3,84.4,NA,
1326,Q1,2/21/1989,901,9.72,NA,7.1,90.6,NA,
1327,Q2,2/21/1989,837,0.08,NA,7.34,84,NA,
1328,Q3,2/21/1989,850,4.44,NA,7.31,78.8,NA,
1329,QS,2/21/1989,915,3.62,19,6.91,46.4,NA,
1346,QS,2/28/1989,900,3.7,18.5,6.84,44,NA,
1347,Q1,2/28/1989,949,9.7,NA,7.22,90.2,NA,
1348,Q2,2/28/1989,937,0.08,NA,7.21,79.7,NA,
1349,Q3,2/28/1989,915,4.47,NA,7.28,74.3,NA,
