Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3-N,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,ChlorideCode,NitrateCode,SulfateCode,SodiumCode,PotassiumCode,MagnesiumCode,CalciumCode,NH4Code,PO4Code,DOCCode,DICCode,TDNCode,SiO2Code,DONCode,TSS,Turbidity
QPA,1577,1989-06-06,NA,NA,21,6.79,49.4,NA,27,1.88,5.08,0.29,2.14,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,1603,1989-06-13,1055,NA,NA,7.2,70.5,NA,54,NA,6.17,0.35,3.35,4.15,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,1658,1989-06-20,940,NA,21.5,6.83,59.3,NA,32,3.8,5.59,0.34,2.77,3.1,NA,NA,NA,NA,NA,NA,17.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,1690,1989-06-27,925,NA,22,7.07,77,NA,74,0.46,6.55,0.41,3.88,4.67,NA,NA,NA,NA,NA,NA,31.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,1698,1989-07-05,NA,NA,NA,7,65.2,NA,10,NA,5.97,0.48,2.91,3.69,NA,NA,NA,NA,0.31,NA,13.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,1985,1989-07-11,NA,NA,NA,7.12,69.4,NA,59,0.42,6.21,0.47,3.27,3.95,NA,NA,NA,NA,0.12,NA,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2035,1989-07-18,947,NA,22,7.15,64.1,NA,48,NA,6.09,0.46,3,3.65,NA,NA,NA,NA,0.42,NA,33.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2059,1989-07-26,NA,NA,NA,7.19,65,NA,10,NA,6.05,NA,2.84,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2115,1989-08-01,NA,NA,NA,6.82,56.9,NA,59,NA,5.52,0.42,2.57,3.26,NA,NA,NA,NA,0.44,NA,16.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2126,1989-08-08,1100,NA,22,7.23,74.2,NA,170,NA,6.54,0.43,3.82,4.14,NA,NA,NA,NA,NA,NA,22.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2140,1989-08-15,1125,NA,22,6.88,68.9,NA,51,NA,6.33,0.4,3.52,3.97,NA,NA,NA,NA,NA,NA,20.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2153,1989-08-22,1050,NA,21.5,6.76,62.3,NA,44,NA,4.63,0.34,1.94,2.36,NA,NA,NA,NA,NA,NA,12.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2162,1989-08-29,1005,NA,21,6.63,49.3,NA,39,NA,4.61,0.37,2.06,2.87,NA,NA,NA,NA,0.27,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPA,2201,1989-09-05,921,NA,22,7.11,66.4,NA,99,NA,5.48,0.36,3.26,3.81,NA,NA,NA,NA,NA,NA,19.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
