Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3-N,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,ChlorideCode,NitrateCode,SulfateCode,SodiumCode,PotassiumCode,MagnesiumCode,CalciumCode,NH4Code,PO4Code,DOCCode,DICCode,TDNCode,SiO2Code,DONCode,TSS,Turbidity
QPB,1578,1989-06-06,NA,NA,21,7.09,61.3,NA,48,NA,5.62,0.35,2.79,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,1605,1989-06-13,1108,NA,NA,6.92,61.3,NA,39,NA,5.18,0.29,2.79,3.34,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,1659,1989-06-20,945,NA,21.5,7.03,72.8,NA,53,1.16,6.29,0.43,3.34,4.43,NA,NA,NA,NA,NA,NA,21.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,1691,1989-06-27,932,NA,22,7.08,64.9,NA,NA,0.61,6.05,0.33,3.26,3.17,NA,NA,NA,NA,NA,NA,28,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,1699,1989-07-05,NA,NA,NA,6.9,53.2,NA,10,NA,5.35,0.41,2.27,2.73,NA,NA,NA,NA,0.32,NA,8.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,1988,1989-07-11,NA,NA,NA,6.89,57.1,NA,13,0.28,5.71,0.42,3,3.39,NA,NA,NA,NA,0.8,NA,25.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2036,1989-07-18,941,NA,21.5,6.68,59.6,NA,135,NA,6.7,0.36,2.49,2.55,NA,NA,NA,NA,0.61,NA,12.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2054,1989-07-26,NA,NA,NA,6.95,55.7,NA,9,NA,5.66,0.35,2.46,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2110,1989-08-01,NA,NA,NA,6.78,48.9,NA,31,NA,5.06,0.31,2.09,2.61,NA,NA,NA,NA,0.36,NA,7.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2127,1989-08-08,1115,NA,22,7.27,63.8,NA,94,NA,6.13,0.3,3.08,3.24,NA,NA,NA,NA,NA,NA,18.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2141,1989-08-15,1115,NA,22,6.62,58.7,NA,81,NA,5.74,0.33,2.83,3.02,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2154,1989-08-22,1115,NA,21.5,7,65.6,NA,10,NA,4.77,0.36,2.15,2.75,NA,NA,NA,NA,NA,NA,13.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2163,1989-08-29,959,NA,21,6.9,44.7,NA,69,NA,4.4,0.33,0.15,2.4,NA,NA,NA,NA,0.14,NA,13.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2202,1989-09-05,915,NA,22,6.56,56.4,NA,72,NA,5.07,0.36,2.64,2.76,NA,NA,NA,NA,NA,NA,17.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2214,1989-09-12,926,NA,21,6.89,59.5,NA,12,0.47,4.57,0.35,2.05,2.67,NA,NA,NA,NA,0.15,NA,13.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
