"","data_source","rolling_mean_k","rolling_mean_no3_n","rolling_mean_mg","rolling_mean_ca","rolling_mean_nh4_n","week","date"
"1","BQ1",0.7875,154.375,2.188125,3.449375,27.375,4.5,1988-01-29
"2","BQ1",0.90125,206.9375,1.99375,3.10375,20.6875,9,1988-03-04
"3","BQ1",0.923888888888889,203.888888888889,1.96166666666667,3.085,24.0555555555556,13.5,1988-04-01
"4","BQ1",0.876666666666667,151.7,2.251,3.19,64.2,18,1988-05-06
"5","BQ1",0.881111111111111,157.5,2.03363636363636,2.985,90.625,22.5,1988-06-03
"6","BQ1",0.765555555555556,NA,2.267,3.29777777777778,113,27,1988-07-08
"7","BQ1",0.762857142857143,79.125,1.92214285714286,2.545,15.5,31.5,1988-08-05
"8","BQ1",0.755384615384615,93.8333333333333,2.04666666666667,2.80384615384615,37.2,36,1988-09-09
"9","BQ1",0.814444444444444,139.5,2.46555555555556,3.72666666666667,50.25,40.5,1988-10-07
"10","BQ1",0.89375,141.777777777778,2.61875,4.1625,46,45,1988-11-11
"11","BQ1",0.859,137.666666666667,2.408,4.18222222222222,NA,49.5,1988-12-09
"12","BQ1",0.858888888888889,153,2.50222222222222,4.32875,NA,54,1989-01-13
"13","BQ1",0.897,131.9,2.793,4.269,NA,58.5,1989-02-10
"14","BQ1",0.836666666666667,130.888888888889,2.73,4.14,NA,63,1989-03-17
"15","BQ1",0.855,141.9,2.754,4.481,NA,67.5,1989-04-14
"16","BQ1",0.937777777777778,141,2.99777777777778,4.79444444444444,NA,72,1989-05-19
"17","BQ1",0.947777777777778,123,2.90111111111111,4.53444444444444,NA,76.5,1989-06-16
"18","BQ1",0.944444444444444,116.625,2.54777777777778,3.99111111111111,NA,81,1989-07-21
"19","BQ1",0.990909090909091,88.375,2.63818181818182,4.01909090909091,NA,85.5,1989-08-18
"20","BQ1",1.04909090909091,81.6,2.781,4.265,NA,90,1989-09-22
"21","BQ1",1.29076923076923,386.875,3.03,4.33666666666667,NA,94.5,1989-10-20
"22","BQ1",1.232,324.1,3.237,5.118,NA,99,1989-11-24
"23","BQ1",1.134,89.8888888888889,3.231,5.872,NA,103.5,1989-12-22
"24","BQ1",1.26888888888889,118,3.32333333333333,5.84777777777778,NA,108,1990-01-26
"25","BQ1",1.214,211.375,3.176,5.546,NA,112.5,1990-02-23
"26","BQ1",1.40384615384615,480.636363636364,2.52153846153846,4.29153846153846,NA,117,1990-03-30
"27","BQ1",1.34933333333333,418.857142857143,2.58466666666667,4.37533333333333,NA,121.5,1990-04-27
"28","BQ1",1.238,208.1,3.11,5.267,NA,126,1990-06-01
"29","BQ1",1.129,134.3,3.275,5.583,NA,130.5,1990-06-29
"30","BQ1",1.01333333333333,117.444444444444,3.25333333333333,5.64333333333333,NA,135,1990-08-03
